code,price,score,signal_strength,action_advice,volume_ratio,name
603138,16.93,100,极强 (主升浪起爆),激进买入/加仓 (突破位:16.30),7.17,海量数据
000758,7.12,100,极强 (主升浪起爆),激进买入/加仓 (突破位:7.10),1.43,中色股份
002131,10.4,100,极强 (主升浪起爆),激进买入/加仓 (突破位:7.46),1.05,利欧股份
002716,10.54,100,极强 (主升浪起爆),激进买入/加仓 (突破位:8.40),1.44,湖南白银
600768,15.52,100,极强 (主升浪起爆),激进买入/加仓 (突破位:14.86),1.13,宁波富邦
600969,11.08,100,极强 (主升浪起爆),激进买入/加仓 (突破位:10.82),0.83,郴电国际
600531,13.85,100,极强 (主升浪起爆),激进买入/加仓 (突破位:13.30),1.32,豫光金铅
688560,18.75,100,极强 (主升浪起爆),激进买入/加仓 (突破位:17.79),1.73,明冠新材
600273,10.1,100,极强 (主升浪起爆),激进买入/加仓 (突破位:9.88),1.47,嘉化能源
002427,7.68,100,极强 (主升浪起爆),激进买入/加仓 (突破位:7.23),1.58,尤夫股份
002856,14.68,100,极强 (主升浪起爆),激进买入/加仓 (突破位:13.72),1.42,美芝股份
600662,6.88,100,极强 (主升浪起爆),激进买入/加仓 (突破位:5.54),6.42,外服控股
002921,19.39,100,极强 (主升浪起爆),激进买入/加仓 (突破位:18.80),1.09,联诚精密
600637,14.9,100,极强 (主升浪起爆),激进买入/加仓 (突破位:13.32),4.62,东方明珠
002342,12.6,100,极强 (主升浪起爆),激进买入/加仓 (突破位:10.98),1.41,巨力索具
002969,17.38,100,极强 (主升浪起爆),激进买入/加仓 (突破位:15.07),2.4,嘉美包装
601212,7.16,100,极强 (主升浪起爆),激进买入/加仓 (突破位:6.46),1.24,白银有色
600718,11.98,100,极强 (主升浪起爆),激进买入/加仓 (突破位:11.48),2.97,东软集团
600338,19.22,100,极强 (主升浪起爆),激进买入/加仓 (突破位:17.48),1.61,西藏珠峰
002195,11.87,100,极强 (主升浪起爆),激进买入/加仓 (突破位:11.00),3.38,岩山科技
002153,16.14,100,极强 (主升浪起爆),激进买入/加仓 (突破位:13.53),1.57,石基信息
603458,12.79,100,极强 (主升浪起爆),激进买入/加仓 (突破位:12.19),0.67,勘设股份
600552,14.55,100,极强 (主升浪起爆),激进买入/加仓 (突破位:14.47),1.7,凯盛科技
000510,14.45,70,中等 (趋势形成),底仓试错 (突破位:14.16),0.82,新金路
002858,16.99,70,中等 (趋势形成),底仓试错 (突破位:16.61),1.64,力盛体育
000739,18.13,70,中等 (趋势形成),底仓试错 (突破位:16.89),3.58,普洛药业
002400,12.8,70,中等 (趋势形成),底仓试错 (突破位:10.37),2.37,省广集团
002803,19.53,70,中等 (趋势形成),底仓试错 (突破位:18.98),1.74,吉宏股份
002044,8.51,70,中等 (趋势形成),底仓试错 (突破位:6.48),1.28,美年健康
600176,18.33,70,中等 (趋势形成),底仓试错 (突破位:18.05),0.82,中国巨石
600026,14.29,70,中等 (趋势形成),底仓试错 (突破位:13.75),1.52,中远海能
002842,19.14,70,中等 (趋势形成),底仓试错 (突破位:17.12),0.99,翔鹭钨业
002698,17.64,70,中等 (趋势形成),底仓试错 (突破位:17.54),1.93,博实股份
601958,18.84,70,中等 (趋势形成),底仓试错 (突破位:18.38),1.49,金钼股份
002729,18.38,70,中等 (趋势形成),底仓试错 (突破位:18.18),2.25,好利科技
600589,10.25,70,中等 (趋势形成),底仓试错 (突破位:9.69),3.14,大位科技
601179,13.43,70,中等 (趋势形成),底仓试错 (突破位:11.18),1.74,中国西电
002574,6.92,70,中等 (趋势形成),底仓试错 (突破位:6.47),4.04,明牌珠宝
002115,19.54,70,中等 (趋势形成),底仓试错 (突破位:14.72),0.71,三维通信
688387,17.76,70,中等 (趋势形成),底仓试错 (突破位:15.84),1.15,信科移动
002968,13.16,70,中等 (趋势形成),底仓试错 (突破位:13.01),1.11,新大正
600226,5.99,70,中等 (趋势形成),底仓试错 (突破位:5.88),0.91,亨通股份
603112,19.69,70,中等 (趋势形成),底仓试错 (突破位:19.49),2.65,华翔股份
002800,17.31,70,中等 (趋势形成),底仓试错 (突破位:16.60),0.9,天顺股份
601156,18.8,70,中等 (趋势形成),底仓试错 (突破位:18.76),1.23,东航物流
601233,18.8,70,中等 (趋势形成),底仓试错 (突破位:18.56),0.98,桐昆股份
600331,13.77,70,中等 (趋势形成),底仓试错 (突破位:13.57),0.98,宏达股份
600251,10.1,70,中等 (趋势形成),底仓试错 (突破位:9.95),1.57,冠农股份
002237,14.95,70,中等 (趋势形成),底仓试错 (突破位:14.29),1.11,恒邦股份
002552,18.8,70,中等 (趋势形成),底仓试错 (突破位:17.68),2.05,宝鼎科技
600088,18.28,70,中等 (趋势形成),底仓试错 (突破位:17.78),3.67,中视传媒
601615,19.68,70,中等 (趋势形成),底仓试错 (突破位:18.43),0.35,明阳智能
600237,10.49,70,中等 (趋势形成),底仓试错 (突破位:9.83),0.98,铜峰电子
002429,8.7,70,中等 (趋势形成),底仓试错 (突破位:8.08),2.46,兆驰股份
688315,15.93,70,中等 (趋势形成),底仓试错 (突破位:15.15),3.94,诺禾致源
002250,17.86,70,中等 (趋势形成),底仓试错 (突破位:16.70),1.21,联化科技
600367,20.0,70,中等 (趋势形成),底仓试错 (突破位:19.75),1.91,红星发展
600651,9.12,70,中等 (趋势形成),底仓试错 (突破位:8.93),2.91,飞乐音响
600961,19.5,70,中等 (趋势形成),底仓试错 (突破位:18.10),1.2,株冶集团
002284,17.23,70,中等 (趋势形成),底仓试错 (突破位:16.27),1.52,亚太股份
000593,18.28,70,中等 (趋势形成),底仓试错 (突破位:14.32),2.28,德龙汇能
600638,7.14,70,中等 (趋势形成),底仓试错 (突破位:6.86),1.01,新黄浦
000676,10.3,70,中等 (趋势形成),底仓试错 (突破位:9.85),3.82,智度股份
600583,6.17,70,中等 (趋势形成),底仓试错 (突破位:5.98),1.6,海油工程
603132,16.26,70,中等 (趋势形成),底仓试错 (突破位:16.08),1.31,金徽股份
600550,13.86,70,中等 (趋势形成),底仓试错 (突破位:13.00),1.42,保变电气
002582,13.47,70,中等 (趋势形成),底仓试错 (突破位:12.94),1.42,好想你
600650,17.12,70,中等 (趋势形成),底仓试错 (突破位:16.98),1.38,锦江在线
600100,9.79,70,中等 (趋势形成),底仓试错 (突破位:9.49),1.7,同方股份
603918,19.95,70,中等 (趋势形成),底仓试错 (突破位:18.95),4.15,金桥信息
603305,19.16,70,中等 (趋势形成),底仓试错 (突破位:19.10),1.62,旭升集团
600397,9.4,70,中等 (趋势形成),底仓试错 (突破位:9.06),1.25,江钨装备
603602,16.39,70,中等 (趋势形成),底仓试错 (突破位:15.55),7.31,纵横通信
002114,10.15,70,中等 (趋势形成),底仓试错 (突破位:10.10),1.42,罗平锌电
688176,13.16,70,中等 (趋势形成),底仓试错 (突破位:12.24),1.45,亚虹医药
600676,9.26,70,中等 (趋势形成),底仓试错 (突破位:6.79),4.9,交运股份
601339,6.03,70,中等 (趋势形成),底仓试错 (突破位:6.01),1.29,百隆东方
600633,16.73,70,中等 (趋势形成),底仓试错 (突破位:13.98),8.99,浙数文化
688565,12.47,70,中等 (趋势形成),底仓试错 (突破位:12.17),1.02,力源科技
002410,15.7,70,中等 (趋势形成),底仓试错 (突破位:14.90),5.07,广联达
002082,16.91,70,中等 (趋势形成),底仓试错 (突破位:16.17),1.59,万邦德
600686,18.81,70,中等 (趋势形成),底仓试错 (突破位:18.73),0.93,金龙汽车
603103,18.88,70,中等 (趋势形成),底仓试错 (突破位:18.87),1.21,横店影视
002378,18.19,70,中等 (趋势形成),底仓试错 (突破位:17.20),0.96,章源钨业
688548,19.9,70,中等 (趋势形成),底仓试错 (突破位:19.16),1.24,广钢气体
002182,17.73,70,中等 (趋势形成),底仓试错 (突破位:17.58),1.26,宝武镁业
002624,18.38,70,中等 (趋势形成),底仓试错 (突破位:17.96),1.21,完美世界
002643,17.49,70,中等 (趋势形成),底仓试错 (突破位:16.38),1.24,万润股份
000875,6.8,70,中等 (趋势形成),底仓试错 (突破位:6.44),4.62,吉电股份
002354,8.03,70,中等 (趋势形成),底仓试错 (突破位:7.35),5.29,天娱数科
688096,9.38,70,中等 (趋势形成),底仓试错 (突破位:9.14),1.5,京源环保
002712,6.77,70,中等 (趋势形成),底仓试错 (突破位:6.70),3.37,思美传媒
603002,8.19,70,中等 (趋势形成),底仓试错 (突破位:8.12),1.81,宏昌电子
002467,6.93,70,中等 (趋势形成),底仓试错 (突破位:6.73),3.74,二六三
002446,14.67,70,中等 (趋势形成),底仓试错 (突破位:12.50),1.66,盛路通信
000506,14.8,70,中等 (趋势形成),底仓试错 (突破位:14.44),1.2,招金黄金
600986,11.15,70,中等 (趋势形成),底仓试错 (突破位:10.38),2.2,浙文互联
600595,9.48,70,中等 (趋势形成),底仓试错 (突破位:8.77),1.02,中孚实业
600497,9.03,70,中等 (趋势形成),底仓试错 (突破位:8.66),1.4,驰宏锌锗
688207,18.75,70,中等 (趋势形成),底仓试错 (突破位:17.43),2.94,格灵深瞳
603012,7.14,70,中等 (趋势形成),底仓试错 (突破位:7.05),1.46,创力集团
002787,14.25,70,中等 (趋势形成),底仓试错 (突破位:13.67),1.04,华源控股
600970,10.66,70,中等 (趋势形成),底仓试错 (突破位:10.60),1.1,中材国际
600861,19.3,70,中等 (趋势形成),底仓试错 (突破位:19.14),2.01,北京人力
605136,13.9,70,中等 (趋势形成),底仓试错 (突破位:13.14),1.1,丽人丽妆
603488,11.35,70,中等 (趋势形成),底仓试错 (突破位:10.53),3.61,展鹏科技
000060,6.86,70,中等 (趋势形成),底仓试错 (突破位:6.60),1.38,中金岭南
001202,19.08,70,中等 (趋势形成),底仓试错 (突破位:18.93),6.93,炬申股份
603889,8.9,70,中等 (趋势形成),底仓试错 (突破位:8.69),1.56,新澳股份
002264,12.09,70,中等 (趋势形成),底仓试错 (突破位:11.87),1.39,新 华 都
600785,17.11,70,中等 (趋势形成),底仓试错 (突破位:14.86),1.24,新华百货
002206,6.8,70,中等 (趋势形成),底仓试错 (突破位:6.30),2.55,海 利 得
000612,12.85,70,中等 (趋势形成),底仓试错 (突破位:12.58),1.27,焦作万方
002918,17.0,70,中等 (趋势形成),底仓试错 (突破位:16.62),1.25,蒙娜丽莎
603161,15.54,70,中等 (趋势形成),底仓试错 (突破位:14.78),2.07,科华控股
600588,17.5,70,中等 (趋势形成),底仓试错 (突破位:15.99),6.42,用友网络
603356,17.58,70,中等 (趋势形成),底仓试错 (突破位:16.58),1.31,华菱精工
600724,6.21,70,中等 (趋势形成),底仓试错 (突破位:6.15),1.67,宁波富达
601872,11.39,70,中等 (趋势形成),底仓试错 (突破位:10.08),1.34,招商轮船
002203,15.45,70,中等 (趋势形成),底仓试错 (突破位:14.05),3.05,海亮股份
688327,17.52,70,中等 (趋势形成),底仓试错 (突破位:16.39),3.07,云从科技
600556,8.4,70,中等 (趋势形成),底仓试错 (突破位:7.99),2.5,天下秀
688119,8.03,70,中等 (趋势形成),底仓试错 (突破位:6.84),1.46,中钢洛耐
002258,15.26,70,中等 (趋势形成),底仓试错 (突破位:14.70),1.72,利尔化学
